chapter	subtopic	front	back
Capítulo 13	Organización del corazón	¿En qué región torácica se localiza el corazón?	En el mediastino medio.
Capítulo 13	Organización del corazón	¿Qué fracción aproximada del corazón está desplazada a la izquierda?	Dos tercios.
Capítulo 13	Organización del corazón	¿Qué saco resistente rodea al corazón?	El pericardio.
Capítulo 13	Organización del corazón	¿A qué estructura inferior fija el pericardio al corazón?	Al diafragma.
Capítulo 13	Esqueleto fibroso cardíaco	¿Cuántos anillos fibrosos posee el esqueleto cardíaco?	Cuatro.
Capítulo 13	Esqueleto fibroso cardíaco	¿Cuántos trígonos conectan los anillos fibrosos?	Dos.
Capítulo 13	Esqueleto fibroso cardíaco	¿Qué anillos rodean las salidas arteriales del corazón?	Los anillos aórtico y pulmonar.
Capítulo 13	Esqueleto fibroso cardíaco	¿Qué anillos rodean los orificios entre aurículas y ventrículos?	Los anillos auriculoventriculares.
Capítulo 13	Esqueleto fibroso cardíaco	¿Qué porción del tabique interventricular carece de miocardio?	La porción membranosa.
Capítulo 13	Esqueleto fibroso cardíaco	¿Qué función mecánica cumple el esqueleto fibroso para el miocardio?	Proporciona puntos de fijación.
Capítulo 13	Vasos coronarios	¿Cuántas arterias coronarias principales tiene el corazón?	Dos.
Capítulo 13	Vasos coronarios	¿Hacia qué región convergen las ramas coronarias?	Hacia el vértice cardíaco.
Capítulo 13	Vasos coronarios	¿Dónde desemboca la mayoría de las venas cardíacas?	En el seno coronario.
Capítulo 13	Vasos coronarios	¿En qué superficie cardíaca se encuentra el seno coronario?	En la superficie posterior.
Capítulo 13	Vasos coronarios	¿En qué cavidad desemboca el seno coronario?	En la aurícula derecha.
Capítulo 13	Epicardio	¿Cuántas capas de células mesoteliales tiene el epicardio?	Una.
Capítulo 13	Epicardio	¿Qué protege el tejido adiposo epicárdico?	Los vasos y nervios coronarios.
Capítulo 13	Epicardio	¿En qué lugar se refleja el epicardio para formar pericardio parietal?	En los grandes vasos.
Capítulo 13	Pericardio	¿Cuánto líquido contiene normalmente la cavidad pericárdica?	15-50 mL.
Capítulo 13	Pericardio	¿Qué reviste la cavidad pericárdica?	Mesotelio.
Capítulo 13	Pericardio	¿Cuál es la capa externa resistente del pericardio?	El pericardio fibroso.
Capítulo 13	Taponamiento cardíaco	¿Qué es el taponamiento cardíaco?	Compresión cardíaca por acumulación rápida de líquido pericárdico.
Capítulo 13	Taponamiento cardíaco	¿Qué función cardíaca compromete el taponamiento?	El llenado adecuado de las cavidades.
Capítulo 13	Taponamiento cardíaco	¿Qué procedimiento drena la cavidad pericárdica?	La pericardiocentesis.
Capítulo 13	Taponamiento cardíaco	¿Qué inflamación puede causar taponamiento cardíaco?	La pericarditis.
Capítulo 13	Endocardio	¿Cuántas capas conjuntivas se distinguen bajo el endotelio endocárdico?	Dos.
Capítulo 13	Endocardio	¿Qué células contráctiles puede contener la capa subendotelial?	Células musculares lisas.
Capítulo 13	Endocardio	¿Con qué tejido se continúa la capa subendocárdica?	Con el tejido conjuntivo miocárdico.
Capítulo 13	Tabiques cardíacos	¿Qué tejido predomina en el tabique interventricular?	Músculo cardíaco.
Capítulo 13	Tabiques cardíacos	¿Qué reviste ambas superficies del tabique interventricular?	Endocardio.
Capítulo 13	Tabiques cardíacos	¿Cuál tabique es más delgado: interauricular o interventricular?	El interauricular.
Capítulo 13	Tabiques cardíacos	¿Qué tejido ocupa el centro de la mayor parte del tabique interauricular?	Músculo cardíaco.
