chapter,subtopic,front,back
Capítulo 4,Fundamentos de los tejidos,¿Qué es un tejido?,Un conjunto organizado de células que funcionan de forma colectiva.
Capítulo 4,Fundamentos de los tejidos,¿Qué permite que las células de un tejido funcionen como una unidad?,La cooperación entre células conectadas y comunicadas entre sí.
Capítulo 4,Fundamentos de los tejidos,¿Qué tipo de unión conecta físicamente células de un mismo tejido?,Las uniones de anclaje.
Capítulo 4,Fundamentos de los tejidos,¿Qué tipo de unión permite comunicación directa entre células vecinas?,Las uniones de hendidura.
Capítulo 4,Fundamentos de los tejidos,"¿Qué estructuras permiten que una célula responda a estímulos hormonales, nerviosos o mecánicos?",Receptores específicos de membrana.
Capítulo 4,Fundamentos de los tejidos,¿Cuántos tejidos básicos forman todos los órganos?,Cuatro tejidos básicos.
Capítulo 4,Fundamentos de los tejidos,¿Cuáles son los cuatro tejidos básicos del cuerpo?,"Epitelial, conjuntivo, muscular y nervioso."
Capítulo 4,Fundamentos de los tejidos,"¿Qué tejido básico cubre superficies, reviste cavidades y forma glándulas?",El tejido epitelial.
Capítulo 4,Fundamentos de los tejidos,¿Qué tejido básico sostiene estructural y funcionalmente a los otros tejidos?,El tejido conjuntivo.
Capítulo 4,Fundamentos de los tejidos,¿Qué tejido básico está formado por células contráctiles?,El tejido muscular.
Capítulo 4,Fundamentos de los tejidos,"¿Qué tejido básico recibe, transmite e integra información?",El tejido nervioso.
Capítulo 4,Clasificación de los tejidos,¿Qué criterio define principalmente al tejido epitelial?,Su morfología.
Capítulo 4,Clasificación de los tejidos,¿Qué criterio define principalmente al tejido conjuntivo?,Su morfología.
Capítulo 4,Clasificación de los tejidos,¿Qué criterio define principalmente al tejido muscular?,Su función.
Capítulo 4,Clasificación de los tejidos,¿Qué criterio define principalmente al tejido nervioso?,Su función.
Capítulo 4,Clasificación de los tejidos,¿Por qué la clasificación de los tejidos no se reduce a una sola regla?,Porque combina criterios morfológicos y funcionales.
Capítulo 4,Clasificación de los tejidos,¿Por qué el mioepitelio se clasifica como epitelio aunque sea contráctil?,Porque se ubica asociado al epitelio.
Capítulo 4,Epitelio,¿Qué relación tiene el epitelio con una superficie libre?,Sus células revisten o cubren superficies libres.
Capítulo 4,Epitelio,¿Qué superficie epitelial mira hacia una luz o superficie externa?,La superficie libre.
Capítulo 4,Epitelio,¿Qué superficie epitelial contacta el tejido conjuntivo subyacente?,La superficie basal.
Capítulo 4,Epitelio,¿Qué estructura une el epitelio con el tejido conjuntivo subyacente?,La lámina basal.
Capítulo 4,Epitelio,¿Sobre qué estructura se apoyan todos los epitelios?,Sobre la lámina basal.
Capítulo 4,Epitelio,¿Qué criterio se usa para clasificar epitelios según su forma celular?,La forma de las células superficiales.
Capítulo 4,Epitelio,¿Qué formas celulares básicas se usan para clasificar epitelios?,"Plana, cúbica y cilíndrica."
Capítulo 4,Epitelio,¿Qué criterio distingue epitelio simple de estratificado?,La cantidad de capas celulares.
Capítulo 4,Epitelio,¿Cómo se llama un epitelio con una sola capa celular?,Epitelio simple.
Capítulo 4,Epitelio,¿Cómo se llama un epitelio con varias capas celulares?,Epitelio estratificado.
Capítulo 4,Epitelio,¿Qué estructura forma el epitelio además de cubrir y revestir superficies?,Glándulas.
Capítulo 4,Tejido conjuntivo,¿Qué componente define principalmente al tejido conjuntivo?,La matriz extracelular.
Capítulo 4,Tejido conjuntivo,¿Cómo se disponen las células del tejido conjuntivo en comparación con las epiteliales?,Están más separadas entre sí.
Capítulo 4,Tejido conjuntivo,¿Qué ocupa los espacios intercelulares del tejido conjuntivo?,Matriz extracelular.
Capítulo 4,Tejido conjuntivo,¿Quién produce la matriz extracelular del tejido conjuntivo?,Las células del tejido conjuntivo.
Capítulo 4,Tejido conjuntivo,¿Qué dos aspectos se consideran para clasificar tejido conjuntivo?,Las células y la matriz extracelular.
Capítulo 4,Tejido conjuntivo,¿De qué capa germinal deriva el tejido conjuntivo embrionario?,Del mesodermo.
Capítulo 4,Tejido conjuntivo,¿Dónde se encuentra el tejido conjuntivo embrionario?,En el embrión y el cordón umbilical.
Capítulo 4,Tejido conjuntivo,¿Qué tejido conjuntivo suele apoyar a la mayoría de los epitelios?,El tejido conjuntivo laxo.
Capítulo 4,Tejido conjuntivo,¿Qué caracteriza la matriz del tejido conjuntivo laxo?,Fibras de colágeno laxamente distribuidas y abundantes células.
Capítulo 4,Tejido conjuntivo,¿Qué célula forma y mantiene la matriz extracelular del tejido conjuntivo laxo?,El fibroblasto.
Capítulo 4,Tejido conjuntivo,¿Qué origen tienen muchas células inmunitarias del tejido conjuntivo laxo?,Migran desde el sistema vascular.
Capítulo 4,Tejido conjuntivo,¿Qué caracteriza al tejido conjuntivo denso?,Abundantes fibras de colágeno densamente dispuestas y pocas células.
Capítulo 4,Tejido conjuntivo,¿Qué célula predomina en el tejido conjuntivo denso?,El fibroblasto.
