chapter	subtopic	front	back
Capítulo 13	Fundamentos cardiovasculares	¿Qué transporta el sistema cardiovascular?	Sangre y linfa.
Capítulo 13	Fundamentos cardiovasculares	¿Qué órganos componen el sistema cardiovascular?	Corazón, vasos sanguíneos y vasos linfáticos.
Capítulo 13	Fundamentos cardiovasculares	¿Qué estructura actúa como bomba del sistema cardiovascular?	El corazón.
Capítulo 13	Fundamentos cardiovasculares	¿Dónde ocurre el intercambio entre sangre y tejidos?	En los capilares.
Capítulo 13	Fundamentos cardiovasculares	¿Qué vasos llevan sangre hacia los capilares?	Las arterias.
Capítulo 13	Fundamentos cardiovasculares	¿Qué vasos devuelven la sangre al corazón?	Las venas.
Capítulo 13	Microcirculación	¿Qué tres componentes forman un lecho microvascular?	Arteriolas, capilares y vénulas poscapilares.
Capítulo 13	Microcirculación	¿Qué vasos regulan la entrada de sangre al lecho capilar?	Las arteriolas.
Capítulo 13	Microcirculación	¿Qué vaso inicia el retorno desde un lecho microvascular?	La vénula poscapilar.
Capítulo 13	Circulación pulmonar	¿Qué circuito lleva sangre del corazón a los pulmones y de regreso?	La circulación pulmonar.
Capítulo 13	Circulación pulmonar	¿Qué lado del corazón impulsa la circulación pulmonar?	El lado derecho.
Capítulo 13	Circulación sistémica	¿Qué circuito lleva sangre entre el corazón y los tejidos corporales?	La circulación sistémica.
Capítulo 13	Circulación sistémica	¿Qué lado del corazón impulsa la circulación sistémica?	El lado izquierdo.
Capítulo 13	Sistemas porta	¿Qué caracteriza a un sistema porta vascular?	Un vaso entre dos redes capilares.
Capítulo 13	Sistemas porta	¿Qué vaso forma el sistema porta hepático?	La vena porta.
Capítulo 13	Sistemas porta	¿Qué sistema porta irriga la hipófisis?	El sistema porta hipotalámico-hipofisario.
Capítulo 13	Organización del corazón	¿Cuántas cavidades tiene el corazón?	Cuatro.
Capítulo 13	Organización del corazón	¿Qué cavidades reciben la sangre que llega al corazón?	Las aurículas.
Capítulo 13	Organización del corazón	¿Qué cavidades expulsan sangre fuera del corazón?	Los ventrículos.
Capítulo 13	Organización del corazón	¿Qué evita el flujo retrógrado entre las cavidades cardíacas?	Las válvulas.
Capítulo 13	Organización del corazón	¿Qué separa las aurículas derecha e izquierda?	El tabique interauricular.
