Sí. Aquí están **todas las que conviene agregar**, juntando las del documento random + las del texto largo + los ajustes de precio máximo/monopolio, sin repetir demasiado lo que ya tenías.

```tsv
chapter	subtopic	front	back
Parcial 1	Bienes	¿Qué función general tienen los bienes para la acción humana?	Son medios que permiten pasar a un estado de mayor satisfacción.
Parcial 1	Bienes de consumo	¿Por qué los bienes de consumo se llaman bienes de primer orden?	Porque satisfacen directa e inmediatamente una necesidad.
Parcial 1	Bienes de capital	¿Qué relación tienen los bienes de capital con los bienes de consumo?	Los bienes de capital se usan para producir bienes de consumo.
Parcial 1	Estructura de producción	¿Qué requiere todo proceso de producción?	Tiempo y capital.
Parcial 1	Periodo de trabajo	¿Qué es el periodo de trabajo?	La parte del proceso productivo que requiere esfuerzo humano directo.
Parcial 1	Periodo de maduración	¿Qué es el periodo de maduración?	El tiempo en que el proceso productivo avanza sin intervención humana directa.
Parcial 1	Periodo de maduración	¿Qué ejemplo puede explicar un periodo de maduración?	Un proceso natural o químico que continúa aunque nadie trabaje directamente.
Parcial 1	Cooperación social	¿Por qué la cooperación social puede beneficiar a personas que nunca se conocen?	Porque la división del trabajo permite intercambios indirectos entre muchos individuos.
Parcial 1	Cooperación social	¿Qué permite lograr la cooperación social?	Producir más de lo que una persona podría lograr sola.
Parcial 1	División del trabajo	¿Qué significa desutilidad del trabajo?	Que el trabajo implica esfuerzo o sacrificio.
Parcial 1	Escasez	¿Por qué la escasez obliga a elegir?	Porque usar un recurso en una opción sacrifica otros usos posibles.
Parcial 1	Ventaja absoluta	¿Qué pregunta responde la ventaja absoluta?	¿Quién produce un bien con mayor eficiencia?
Parcial 1	Ventaja comparativa	¿Qué pregunta responde la ventaja comparativa?	¿Quién tiene menor costo de oportunidad al producir un bien?
Parcial 1	Ventaja comparativa	¿Por qué la ventaja absoluta no decide por sí sola la división del trabajo?	Porque la división del trabajo depende del costo de oportunidad.
Parcial 1	Ventaja comparativa	¿Por qué alguien con ventaja absoluta en dos actividades no debe hacer necesariamente ambas?	Porque le conviene especializarse donde su ventaja relativa es mayor.
Parcial 1	Ventaja comparativa	¿Qué debe hacer quien no tiene ventaja absoluta en ninguna actividad?	Especializarse en la actividad donde tiene menor desventaja relativa.
Parcial 1	Ventaja comparativa	¿Qué efecto tiene la especialización basada en ventaja comparativa?	Aumenta la producción conjunta y facilita más intercambios.
Parcial 1	FPP	¿Qué muestra la frontera de posibilidades de producción?	Las combinaciones máximas de dos bienes que pueden producirse con recursos limitados.
Parcial 1	FPP	¿Qué representa cada punto sobre la FPP?	Una combinación productiva posible y su costo de oportunidad.
Parcial 1	FPP	¿Por qué la división del trabajo puede expandir la FPP?	Porque permite usar mejor los recursos existentes.
Parcial 1	Mercado	¿Qué rol cumplen los consumidores en la estructura del mercado?	Indican con sus valoraciones y compras qué bienes deben producirse.
Parcial 1	Mercado	¿Qué rol cumplen los dueños de recursos en el mercado?	Aportan factores de producción y reciben ingresos por ellos.
Parcial 1	Mercado	¿Qué rol cumple el empresario en la estructura del mercado?	Coordina recursos bajo incertidumbre buscando satisfacer valoraciones de consumidores.
Parcial 1	Teoría del valor	¿Por qué el trabajo no basta para explicar el valor de un bien?	Porque algo puede requerir mucho trabajo y aun así no satisfacer a nadie.
Parcial 1	Demanda	¿Qué diferencia hay entre demanda y cantidad demandada?	La demanda es toda la curva; la cantidad demandada es un punto a un precio específico.
Parcial 1	Demanda	¿Qué ocurre cuando cambia el precio del mismo bien?	Cambia la cantidad demandada y hay movimiento sobre la curva.
Parcial 1	Demanda	¿Qué ocurre cuando cambia un factor distinto del precio del bien?	La curva de demanda se desplaza.
Parcial 1	Oferta	¿Qué diferencia hay entre oferta y cantidad ofertada?	La oferta es toda la curva; la cantidad ofertada es un punto a un precio específico.
Parcial 1	Oferta	¿Qué factores pueden desplazar la oferta?	Tecnología, impuestos y expectativas del vendedor.
Parcial 1	Déficit y superávit	¿Qué es déficit en un mercado?	Cuando la cantidad demandada es mayor que la cantidad ofertada.
Parcial 1	Déficit y superávit	¿Qué es superávit en un mercado?	Cuando la cantidad ofertada es mayor que la cantidad demandada.
Parcial 1	Precio de mercado	¿Qué es el precio de mercado?	El precio al que la cantidad demandada y la cantidad ofertada se igualan.
Parcial 1	Precio de mercado	¿Quiénes definen el precio de mercado?	Los compradores y vendedores marginales.
